"Year";"Month_Number";"n"
"2001";1;1190
"2001";2;1223
"2001";3;1365
"2001";4;1242
"2001";5;1174
"2001";6;1144
"2001";7;1179
"2001";8;1178
"2001";9;1105
"2001";10;1083
"2001";11;1278
"2001";12;1176
"2002";1;1450
"2002";2;1523
"2002";3;1457
"2002";4;1497
"2002";5;1352
"2002";6;1114
"2002";7;1126
"2002";8;1164
"2002";9;1017
"2002";10;1070
"2002";11;1185
"2002";12;1446
"2003";1;1498
"2003";2;1585
"2003";3;1544
"2003";4;1482
"2003";5;1644
"2003";6;1403
"2003";7;1372
"2003";8;1431
"2003";9;1388
"2003";10;1488
"2003";11;1396
"2003";12;1326
"2004";1;1527
"2004";2;1741
"2004";3;1669
"2004";4;1537
"2004";5;1625
"2004";6;1553
"2004";7;1536
"2004";8;1551
"2004";9;1547
"2004";10;1642
"2004";11;1483
"2004";12;1380
"2005";1;1510
"2005";2;1716
"2005";3;1818
"2005";4;1784
"2005";5;1675
"2005";6;1579
"2005";7;1617
"2005";8;1593
"2005";9;1508
"2005";10;1563
"2005";11;1523
"2005";12;1356
"2006";1;1719
"2006";2;1605
"2006";3;1823
"2006";4;1715
"2006";5;1824
"2006";6;1797
"2006";7;1772
"2006";8;1722
"2006";9;1736
"2006";10;1651
"2006";11;1607
"2006";12;1650
"2007";1;1822
"2007";2;1821
"2007";3;2106
"2007";4;2068
"2007";5;2064
"2007";6;2020
"2007";7;2121
"2007";8;1962
"2007";9;1970
"2007";10;1946
"2007";11;1790
"2007";12;1650
"2008";1;1823
"2008";2;1778
"2008";3;1814
"2008";4;1543
"2008";5;1683
"2008";6;1643
"2008";7;1835
"2008";8;2083
"2008";9;1795
"2008";10;1741
"2008";11;1717
"2008";12;1400
"2009";1;1727
"2009";2;1733
"2009";3;1992
"2009";4;1699
"2009";5;1804
"2009";6;1745
"2009";7;1768
"2009";8;1927
"2009";9;1807
"2009";10;1748
"2009";11;1789
"2009";12;1562
"2010";1;1945
"2010";2;1993
"2010";3;2296
"2010";4;1921
"2010";5;1908
"2010";6;1683
"2010";7;1786
"2010";8;1830
"2010";9;1830
"2010";10;1783
"2010";11;1641
"2010";12;1410
"2011";1;1733
"2011";2;1539
"2011";3;1919
"2011";4;1621
"2011";5;1618
"2011";6;1694
"2011";7;1754
"2011";8;1878
"2011";9;1740
"2011";10;1585
"2011";11;1524
"2011";12;1516
"2012";1;1698
"2012";2;1942
"2012";3;1910
"2012";4;1640
"2012";5;1657
"2012";6;1610
"2012";7;1724
"2012";8;1051
"2012";9;1133
"2012";10;1151
"2012";11;1084
"2012";12;1136
"2013";1;1334
"2013";2;1357
"2013";3;1590
"2013";4;1438
"2013";5;1478
"2013";6;1302
"2013";7;1434
"2013";8;1370
"2013";9;1224
"2013";10;1207
"2013";11;1233
"2013";12;1010
"2014";1;964
"2014";2;1106
"2014";3;1233
"2014";4;1124
"2014";5;1236
"2014";6;1112
"2014";7;1253
"2014";8;1152
"2014";9;1024
"2014";10;974
"2014";11;913
"2014";12;800
"2015";1;1015
"2015";2;880
"2015";3;1115
"2015";4;890
"2015";5;864
"2015";6;731
"2015";7;766
"2015";8;849
"2015";9;834
"2015";10;789
"2015";11;665
"2015";12;505
"2016";1;392
"2016";2;487
"2016";3;559
"2016";4;546
"2016";5;548
"2016";6;529
"2016";7;471
"2016";8;152
"2016";9;109
"2016";10;99
"2016";11;91
"2016";12;71
"2017";1;106
"2017";2;97
"2017";3;119
"2017";4;116
"2017";5;110
"2017";6;98
"2017";7;103
"2017";8;105
"2017";9;94
"2017";10;102
"2017";11;91
"2017";12;76
"2018";1;112
"2018";2;108
"2018";3;135
"2018";4;103
"2018";5;121
"2018";6;113
"2018";7;114
"2018";8;129
"2018";9;115
"2018";10;111
"2018";11;120
"2018";12;100
"2019";1;132
"2019";2;128
"2019";3;149
"2019";4;122
"2019";5;103
"2019";6;74
"2019";7;102
"2019";8;127
"2019";9;99
"2019";10;74
"2019";11;93
"2019";12;73
"2020";1;52
"2020";2;50
"2020";3;11
